Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
Computers & Accessories,20,18.54,B0D3J9C8NN,2024-10-26,49.99,49.99,43.69,43.69,42.22005208333333,4,fbm,25179,3,207.0,0.2,2.594,6,0,0.0,"OtterBox Symmetry Folio Case for iPad Pro 11"" (2024), Shockproof, Drop proof, Slim Protective Folio Case, Tested to Military Standard, Purple",,3.8,70,0,10,330,N/A,21.21212121212121
Computers & Accessories,20,18.54,B0D3J9C8NN,2024-10-27,49.99,49.99,43.69,43.69,42.22005208333333,4,fbm,31217,3,207.0,0.2,2.594,6,0,0.0,"OtterBox Symmetry Folio Case for iPad Pro 11"" (2024), Shockproof, Drop proof, Slim Protective Folio Case, Tested to Military Standard, Purple",,3.8,70,0,10,330,N/A,21.21212121212121
Computers & Accessories,20,18.54,B0D3J9C8NN,2024-10-28,42.49,49.99,43.69,42.49,38.31380208333334,4,amazon,54984,4,207.0,0.2,2.3540000000000005,6,0,0.0,"OtterBox Symmetry Folio Case for iPad Pro 11"" (2024), Shockproof, Drop proof, Slim Protective Folio Case, Tested to Military Standard, Purple",,3.8,70,0,10,330,N/A,21.21212121212121
Computers & Accessories,20,18.54,B0D3J9C8NN,2024-10-29,42.49,49.99,43.69,42.49,38.31380208333334,4,amazon,64814,3,207.0,0.2,2.3540000000000005,6,0,0.0,"OtterBox Symmetry Folio Case for iPad Pro 11"" (2024), Shockproof, Drop proof, Slim Protective Folio Case, Tested to Military Standard, Purple",,3.8,70,0,10,330,N/A,21.21212121212121
Computers & Accessories,20,18.54,B0D3J9C8NN,2024-10-30,42.49,49.99,43.69,42.49,38.31380208333334,4,amazon,74388,3,207.0,0.2,2.3540000000000005,6,0,0.0,"OtterBox Symmetry Folio Case for iPad Pro 11"" (2024), Shockproof, Drop proof, Slim Protective Folio Case, Tested to Military Standard, Purple",,3.8,70,0,10,330,N/A,21.21212121212121
Computers & Accessories,20,18.54,B0D3J9C8NN,2024-10-31,49.99,49.99,43.69,43.69,42.22005208333333,4,fbm,83860,3,220.0,0.2,2.594,6,0,0.0,"OtterBox Symmetry Folio Case for iPad Pro 11"" (2024), Shockproof, Drop proof, Slim Protective Folio Case, Tested to Military Standard, Purple",,3.8,70,0,10,330,N/A,21.21212121212121
Computers & Accessories,20,18.54,B0D3J9C8NN,2024-11-01,49.99,49.99,43.69,43.69,42.22005208333333,4,fbm,89713,3,220.0,0.2,2.594,6,0,0.0,"OtterBox Symmetry Folio Case for iPad Pro 11"" (2024), Shockproof, Drop proof, Slim Protective Folio Case, Tested to Military Standard, Purple",,3.8,70,0,10,330,N/A,21.21212121212121
Computers & Accessories,20,18.54,B0D3J9C8NN,2024-11-02,49.99,49.99,43.69,43.69,42.22005208333333,4,fbm,94726,3,220.0,0.2,2.594,6,0,0.0,"OtterBox Symmetry Folio Case for iPad Pro 11"" (2024), Shockproof, Drop proof, Slim Protective Folio Case, Tested to Military Standard, Purple",,3.8,70,0,10,330,N/A,21.21212121212121
Computers & Accessories,20,18.54,B0D3J9C8NN,2024-11-03,49.99,49.99,43.69,43.69,42.22005208333333,4,fbm,94726,3,220.0,0.2,2.594,9,0,0.0,"OtterBox Symmetry Folio Case for iPad Pro 11"" (2024), Shockproof, Drop proof, Slim Protective Folio Case, Tested to Military Standard, Purple",,3.8,70,0,10,330,N/A,21.21212121212121
Computers & Accessories,20,18.54,B0D3J9C8NN,2024-11-04,49.99,49.99,43.69,43.69,42.22005208333333,4,fbm,102845,3,222.0,0.2,2.594,14,0,0.0,"OtterBox Symmetry Folio Case for iPad Pro 11"" (2024), Shockproof, Drop proof, Slim Protective Folio Case, Tested to Military Standard, Purple",,3.8,70,0,10,330,N/A,21.21212121212121
Computers & Accessories,20,18.54,B0D3J9C8NN,2024-11-05,49.99,49.99,43.69,43.69,42.22005208333333,4,fbm,105414,3,222.0,0.2,2.594,14,0,0.0,"OtterBox Symmetry Folio Case for iPad Pro 11"" (2024), Shockproof, Drop proof, Slim Protective Folio Case, Tested to Military Standard, Purple",,3.8,70,0,10,330,N/A,21.21212121212121
Computers & Accessories,20,18.54,B0D3J9C8NN,2024-11-06,49.99,49.99,43.69,43.69,42.22005208333333,4,fbm,108748,3,222.0,0.2,2.594,14,0,0.0,"OtterBox Symmetry Folio Case for iPad Pro 11"" (2024), Shockproof, Drop proof, Slim Protective Folio Case, Tested to Military Standard, Purple",,3.8,70,0,10,330,N/A,21.21212121212121
Computers & Accessories,20,18.54,B0D3J9C8NN,2024-11-07,49.99,49.99,43.69,43.69,42.22005208333333,4,fbm,111693,3,222.0,0.2,2.594,14,0,0.0,"OtterBox Symmetry Folio Case for iPad Pro 11"" (2024), Shockproof, Drop proof, Slim Protective Folio Case, Tested to Military Standard, Purple",,3.8,70,0,10,330,N/A,21.21212121212121
Computers & Accessories,20,18.54,B0D3J9C8NN,2024-11-08,49.99,49.99,43.69,43.69,42.22005208333333,4,fbm,115631,3,222.0,0.2,2.594,14,0,0.0,"OtterBox Symmetry Folio Case for iPad Pro 11"" (2024), Shockproof, Drop proof, Slim Protective Folio Case, Tested to Military Standard, Purple",,3.8,70,0,10,330,N/A,21.21212121212121
Computers & Accessories,20,18.54,B0D3J9C8NN,2024-11-09,49.99,45.49,38.69,38.69,25.944010416666664,3,fbm,118800,4,227.0,0.2,1.5939999999999999,14,0,0.0,"OtterBox Symmetry Folio Case for iPad Pro 11"" (2024), Shockproof, Drop proof, Slim Protective Folio Case, Tested to Military Standard, Purple",,3.8,70,0,10,330,N/A,21.21212121212121
Computers & Accessories,20,18.54,B0D3J9C8NN,2024-11-10,49.99,45.49,38.69,38.69,25.944010416666664,3,fbm,119141,4,227.0,0.2,1.5939999999999999,14,0,0.0,"OtterBox Symmetry Folio Case for iPad Pro 11"" (2024), Shockproof, Drop proof, Slim Protective Folio Case, Tested to Military Standard, Purple",,3.8,70,0,10,330,N/A,21.21212121212121
Computers & Accessories,20,18.54,B0D3J9C8NN,2024-11-11,49.99,45.49,38.69,38.69,25.944010416666664,3,fbm,122980,3,227.0,0.2,1.5939999999999999,14,0,0.0,"OtterBox Symmetry Folio Case for iPad Pro 11"" (2024), Shockproof, Drop proof, Slim Protective Folio Case, Tested to Military Standard, Purple",,3.8,70,0,10,330,N/A,21.21212121212121
