Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
Computers & Accessories,20,18.54,B0D3JBV3MY,2024-10-26,49.99,35.85,51.19,35.85,13.737309644670056,2,fba,48669,3,210,0.2,0.8660000000000004,10,0,0.0,"OtterBox Symmetry Folio Case for iPad Pro 13"" (2024), Shockproof, Drop proof, Slim Protective Folio Case, Tested to Military Standard, Purple",,3.8,79,1,10,330,N/A,23.939393939393938
Computers & Accessories,20,18.54,B0D3JBV3MY,2024-10-27,49.99,35.85,51.19,35.85,13.737309644670056,2,fba,27051,3,210,0.2,0.8660000000000004,10,0,0.0,"OtterBox Symmetry Folio Case for iPad Pro 13"" (2024), Shockproof, Drop proof, Slim Protective Folio Case, Tested to Military Standard, Purple",,3.8,79,1,10,330,N/A,23.939393939393938
Computers & Accessories,20,18.54,B0D3JBV3MY,2024-10-28,49.99,34.32,51.19,34.32,8.88324873096447,1,fba,50231,3,216,0.2,0.5600000000000002,10,0,0.0,"OtterBox Symmetry Folio Case for iPad Pro 13"" (2024), Shockproof, Drop proof, Slim Protective Folio Case, Tested to Military Standard, Purple",,3.8,79,1,10,330,N/A,23.939393939393938
Computers & Accessories,20,18.54,B0D3JBV3MY,2024-10-28,49.99,35.85,51.19,35.85,13.737309644670056,2,fba,50231,3,216,0.2,0.8660000000000004,10,0,0.0,"OtterBox Symmetry Folio Case for iPad Pro 13"" (2024), Shockproof, Drop proof, Slim Protective Folio Case, Tested to Military Standard, Purple",,3.8,79,1,10,330,N/A,23.939393939393938
Computers & Accessories,20,18.54,B0D3JBV3MY,2024-10-29,49.99,35.85,51.19,35.85,13.737309644670056,2,fba,64015,3,216,0.2,0.8660000000000004,10,0,0.0,"OtterBox Symmetry Folio Case for iPad Pro 13"" (2024), Shockproof, Drop proof, Slim Protective Folio Case, Tested to Military Standard, Purple",,3.8,79,1,10,330,N/A,23.939393939393938
Computers & Accessories,20,18.54,B0D3JBV3MY,2024-10-30,49.99,35.85,51.19,35.85,13.737309644670056,2,fba,64015,3,216,0.2,0.8660000000000004,10,0,0.0,"OtterBox Symmetry Folio Case for iPad Pro 13"" (2024), Shockproof, Drop proof, Slim Protective Folio Case, Tested to Military Standard, Purple",,3.8,79,1,10,330,N/A,23.939393939393938
Computers & Accessories,20,18.54,B0D3JBV3MY,2024-10-31,49.99,35.85,47.86,35.85,13.737309644670056,2,fba,55325,3,220,0.2,0.8660000000000004,10,0,0.0,"OtterBox Symmetry Folio Case for iPad Pro 13"" (2024), Shockproof, Drop proof, Slim Protective Folio Case, Tested to Military Standard, Purple",,3.8,79,1,10,330,N/A,23.939393939393938
Computers & Accessories,20,18.54,B0D3JBV3MY,2024-11-01,49.97,35.85,47.86,35.85,13.737309644670056,2,fba,64281,3,220,0.2,0.8660000000000004,10,0,0.0,"OtterBox Symmetry Folio Case for iPad Pro 13"" (2024), Shockproof, Drop proof, Slim Protective Folio Case, Tested to Military Standard, Purple",,3.8,79,1,10,330,N/A,23.939393939393938
Computers & Accessories,20,18.54,B0D3JBV3MY,2024-11-02,49.99,35.85,47.86,35.85,13.737309644670056,2,fba,74038,3,220,0.2,0.8660000000000004,10,0,0.0,"OtterBox Symmetry Folio Case for iPad Pro 13"" (2024), Shockproof, Drop proof, Slim Protective Folio Case, Tested to Military Standard, Purple",,3.8,79,1,10,330,N/A,23.939393939393938
Computers & Accessories,20,18.54,B0D3JBV3MY,2024-11-03,49.99,35.85,47.86,35.85,13.737309644670056,2,fba,80586,3,220,0.2,0.8660000000000004,10,0,0.0,"OtterBox Symmetry Folio Case for iPad Pro 13"" (2024), Shockproof, Drop proof, Slim Protective Folio Case, Tested to Military Standard, Purple",,3.8,79,1,10,330,N/A,23.939393939393938
Computers & Accessories,20,18.54,B0D3JBV3MY,2024-11-04,49.99,35.85,47.86,35.85,13.737309644670056,2,fba,57107,3,222,0.2,0.8660000000000004,10,0,0.0,"OtterBox Symmetry Folio Case for iPad Pro 13"" (2024), Shockproof, Drop proof, Slim Protective Folio Case, Tested to Military Standard, Purple",,3.8,79,1,10,330,N/A,23.939393939393938
Computers & Accessories,20,18.54,B0D3JBV3MY,2024-11-05,49.99,35.85,47.86,35.85,13.737309644670056,2,fba,38219,3,222,0.2,0.8660000000000004,10,0,0.0,"OtterBox Symmetry Folio Case for iPad Pro 13"" (2024), Shockproof, Drop proof, Slim Protective Folio Case, Tested to Military Standard, Purple",,3.8,79,1,10,330,N/A,23.939393939393938
Computers & Accessories,20,18.54,B0D3JBV3MY,2024-11-06,49.99,35.85,47.86,35.85,13.737309644670056,2,fba,58329,3,223,0.2,0.8660000000000004,10,0,0.0,"OtterBox Symmetry Folio Case for iPad Pro 13"" (2024), Shockproof, Drop proof, Slim Protective Folio Case, Tested to Military Standard, Purple",,3.8,79,1,10,330,N/A,23.939393939393938
Computers & Accessories,20,18.54,B0D3JBV3MY,2024-11-07,49.99,35.85,47.86,35.85,13.737309644670056,2,fba,37284,3,223,0.2,0.8660000000000004,10,0,0.0,"OtterBox Symmetry Folio Case for iPad Pro 13"" (2024), Shockproof, Drop proof, Slim Protective Folio Case, Tested to Military Standard, Purple",,3.8,79,1,10,330,N/A,23.939393939393938
Computers & Accessories,20,18.54,B0D3JBV3MY,2024-11-08,49.99,35.85,47.86,35.85,13.737309644670056,2,fba,40739,3,223,0.2,0.8660000000000004,10,0,0.0,"OtterBox Symmetry Folio Case for iPad Pro 13"" (2024), Shockproof, Drop proof, Slim Protective Folio Case, Tested to Military Standard, Purple",,3.8,79,1,10,330,N/A,23.939393939393938
Computers & Accessories,20,18.54,B0D3JBV3MY,2024-11-09,49.99,35.85,47.86,35.85,13.737309644670056,2,fba,22871,3,227,0.2,0.8660000000000004,10,0,0.0,"OtterBox Symmetry Folio Case for iPad Pro 13"" (2024), Shockproof, Drop proof, Slim Protective Folio Case, Tested to Military Standard, Purple",,3.8,79,1,10,330,N/A,23.939393939393938
