Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
Computers & Accessories,20,19.52,B0D3JC45CK,2024-10-26,49.99,49.99,51.19,49.99,55.39322350015542,4,amazon,46040,3,212,0.13333333333333333,2.376,16,1,49.99,"OtterBox Symmetry Folio Case for iPad Pro 11"" (2024), Shockproof, Drop proof, Slim Protective Folio Case, Tested to Military Standard, Grey",,3.8,115,0,10,330,N/A,34.84848484848485
Computers & Accessories,20,19.52,B0D3JC45CK,2024-10-27,49.99,49.99,51.19,49.99,55.39322350015542,4,amazon,20084,3,212,0.13333333333333333,2.376,15,0,0.0,"OtterBox Symmetry Folio Case for iPad Pro 11"" (2024), Shockproof, Drop proof, Slim Protective Folio Case, Tested to Military Standard, Grey",,3.8,115,0,10,330,N/A,34.84848484848485
Computers & Accessories,20,19.52,B0D3JC45CK,2024-10-28,49.99,49.99,51.19,49.99,55.39322350015542,4,amazon,39281,3,212,0.13333333333333333,2.376,15,0,0.0,"OtterBox Symmetry Folio Case for iPad Pro 11"" (2024), Shockproof, Drop proof, Slim Protective Folio Case, Tested to Military Standard, Grey",,3.8,115,0,10,330,N/A,34.84848484848485
Computers & Accessories,20,19.52,B0D3JC45CK,2024-10-29,49.99,49.99,51.19,49.99,55.39322350015542,4,amazon,50506,3,215,0.13333333333333333,2.376,15,1,49.99,"OtterBox Symmetry Folio Case for iPad Pro 11"" (2024), Shockproof, Drop proof, Slim Protective Folio Case, Tested to Military Standard, Grey",,3.8,115,0,10,330,N/A,34.84848484848485
Computers & Accessories,20,19.52,B0D3JC45CK,2024-10-30,49.99,49.99,51.19,49.99,55.39322350015542,4,amazon,32928,3,215,0.13333333333333333,2.376,14,1,49.99,"OtterBox Symmetry Folio Case for iPad Pro 11"" (2024), Shockproof, Drop proof, Slim Protective Folio Case, Tested to Military Standard, Grey",,3.8,115,0,10,330,N/A,34.84848484848485
Computers & Accessories,20,19.52,B0D3JC45CK,2024-10-31,49.99,49.99,51.19,49.99,55.39322350015542,4,amazon,26766,4,215,0.13333333333333333,2.376,13,0,0.0,"OtterBox Symmetry Folio Case for iPad Pro 11"" (2024), Shockproof, Drop proof, Slim Protective Folio Case, Tested to Military Standard, Grey",,3.8,115,0,10,330,N/A,34.84848484848485
Computers & Accessories,20,19.52,B0D3JC45CK,2024-11-01,49.99,49.99,51.19,49.99,55.39322350015542,4,amazon,40893,3,215,0.13333333333333333,2.376,13,0,0.0,"OtterBox Symmetry Folio Case for iPad Pro 11"" (2024), Shockproof, Drop proof, Slim Protective Folio Case, Tested to Military Standard, Grey",,3.8,115,0,10,330,N/A,34.84848484848485
Computers & Accessories,20,19.52,B0D3JC45CK,2024-11-02,49.99,49.99,51.19,49.99,55.39322350015542,4,amazon,50313,3,221,0.13333333333333333,2.376,14,1,49.99,"OtterBox Symmetry Folio Case for iPad Pro 11"" (2024), Shockproof, Drop proof, Slim Protective Folio Case, Tested to Military Standard, Grey",,3.8,115,0,10,330,N/A,34.84848484848485
Computers & Accessories,20,19.52,B0D3JC45CK,2024-11-03,49.99,49.99,51.19,49.99,55.39322350015542,4,amazon,32418,3,221,0.13333333333333333,2.376,13,0,0.0,"OtterBox Symmetry Folio Case for iPad Pro 11"" (2024), Shockproof, Drop proof, Slim Protective Folio Case, Tested to Military Standard, Grey",,3.8,115,0,10,330,N/A,34.84848484848485
Computers & Accessories,20,19.52,B0D3JC45CK,2024-11-04,49.99,49.99,51.19,49.99,55.39322350015542,4,amazon,32833,3,222,0.13333333333333333,2.376,13,2,50.065,"OtterBox Symmetry Folio Case for iPad Pro 11"" (2024), Shockproof, Drop proof, Slim Protective Folio Case, Tested to Military Standard, Grey",,3.8,115,0,10,330,N/A,34.84848484848485
Computers & Accessories,20,19.52,B0D3JC45CK,2024-11-05,49.99,49.99,51.19,49.99,55.39322350015542,4,amazon,26438,3,223,0.13333333333333333,2.376,11,0,0.0,"OtterBox Symmetry Folio Case for iPad Pro 11"" (2024), Shockproof, Drop proof, Slim Protective Folio Case, Tested to Military Standard, Grey",,3.8,115,0,10,330,N/A,34.84848484848485
