Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
Home & Kitchen,20,2.96,B0DN6KL887,2025-03-05,,7.75,7.75,7.75,16.01796407185629,2,fba,1847,3,1315,22.3,23.861000000000008,1,0,0.0,ECO CHIC Lightweight Foldable Reusable Shopping Bag Water Resistant Tote Bag,,4.5,0,No UK,0,1390,N/A,0.0
Home & Kitchen,20,2.96,B0DN6KL887,2025-03-06,,7.75,7.75,7.75,16.01796407185629,2,fba,1847,3,1315,22.3,23.861000000000008,3,0,0.0,ECO CHIC Lightweight Foldable Reusable Shopping Bag Water Resistant Tote Bag,,4.5,0,No UK,0,1390,N/A,0.0
Home & Kitchen,20,2.96,B0DN6KL887,2025-03-07,,6.99,7.75,6.99,4.640718562874259,0,fba,1527,4,1318,22.3,6.913000000000011,3,0,0.0,ECO CHIC Lightweight Foldable Reusable Shopping Bag Water Resistant Tote Bag,,4.5,0,No UK,0,1390,N/A,0.0
Home & Kitchen,20,2.96,B0DN6KL887,2025-03-08,,6.99,7.75,6.99,4.640718562874259,0,fba,1508,4,1318,22.3,6.913000000000011,3,0,0.0,ECO CHIC Lightweight Foldable Reusable Shopping Bag Water Resistant Tote Bag,,4.5,0,No UK,0,1390,N/A,0.0
Home & Kitchen,20,2.96,B0DN6KL887,2025-03-09,,6.99,7.75,6.99,4.640718562874259,0,fba,1375,4,1322,22.3,6.913000000000011,4,0,0.0,ECO CHIC Lightweight Foldable Reusable Shopping Bag Water Resistant Tote Bag,,4.5,0,No UK,0,1390,N/A,0.0
Home & Kitchen,20,2.96,B0DN6KL887,2025-03-10,,6.99,7.75,6.99,4.640718562874259,0,fba,1375,4,1322,22.3,6.913000000000011,4,0,0.0,ECO CHIC Lightweight Foldable Reusable Shopping Bag Water Resistant Tote Bag,,4.5,0,No UK,0,1390,N/A,0.0
Home & Kitchen,20,2.96,B0DN6KL887,2025-03-11,,6.99,7.75,6.99,4.640718562874259,0,fba,1375,4,1322,22.3,6.913000000000011,4,0,0.0,ECO CHIC Lightweight Foldable Reusable Shopping Bag Water Resistant Tote Bag,,4.5,0,No UK,0,1390,N/A,0.0
Home & Kitchen,20,2.96,B0DN6KL887,2025-03-12,,6.99,7.75,6.99,4.640718562874259,0,fba,1831,4,1322,22.3,6.913000000000011,4,0,0.0,ECO CHIC Lightweight Foldable Reusable Shopping Bag Water Resistant Tote Bag,,4.5,0,No UK,0,1390,N/A,0.0
Home & Kitchen,20,2.96,B0DN6KL887,2025-03-13,,6.99,7.75,6.99,4.640718562874259,0,fba,1378,4,1322,22.3,6.913000000000011,4,0,0.0,ECO CHIC Lightweight Foldable Reusable Shopping Bag Water Resistant Tote Bag,,4.5,0,No UK,0,1390,N/A,0.0
Home & Kitchen,20,2.96,B0DN6KL887,2025-03-14,,6.99,7.75,6.99,4.640718562874259,0,fba,1378,4,1322,22.3,6.913000000000011,4,0,0.0,ECO CHIC Lightweight Foldable Reusable Shopping Bag Water Resistant Tote Bag,,4.5,0,No UK,0,1390,N/A,0.0
Home & Kitchen,20,2.96,B0DN6KL887,2025-03-16,,6.99,7.75,6.99,4.640718562874259,0,fba,1602,4,1322,22.3,6.913000000000011,4,0,0.0,ECO CHIC Lightweight Foldable Reusable Shopping Bag Water Resistant Tote Bag,,4.5,0,No UK,0,1390,N/A,0.0
Home & Kitchen,20,2.96,B0DN6KL887,2025-03-17,,6.99,7.75,6.99,4.640718562874259,0,fba,1602,4,1322,22.3,6.913000000000011,4,0,0.0,ECO CHIC Lightweight Foldable Reusable Shopping Bag Water Resistant Tote Bag,,4.5,0,No UK,0,1390,N/A,0.0
Home & Kitchen,20,2.96,B0DN6KL887,2025-03-18,,6.99,7.75,6.99,4.640718562874259,0,fba,1602,4,1322,22.3,6.913000000000011,4,0,0.0,ECO CHIC Lightweight Foldable Reusable Shopping Bag Water Resistant Tote Bag,,4.5,0,No UK,0,1390,N/A,0.0
Home & Kitchen,20,2.96,B0DN6KL887,2025-03-19,,6.99,7.75,6.99,4.640718562874259,0,fba,1820,4,1322,22.3,6.913000000000011,4,0,0.0,ECO CHIC Lightweight Foldable Reusable Shopping Bag Water Resistant Tote Bag,,4.5,0,No UK,0,1390,N/A,0.0
Home & Kitchen,20,2.96,B0DN6KL887,2025-03-20,,6.99,7.75,6.99,4.640718562874259,0,fba,1820,4,1322,22.3,6.913000000000011,4,0,0.0,ECO CHIC Lightweight Foldable Reusable Shopping Bag Water Resistant Tote Bag,,4.5,0,No UK,0,1390,N/A,0.0
Home & Kitchen,20,2.96,B0DN6KL887,2025-03-21,,6.99,7.75,6.99,4.640718562874259,0,fba,1820,4,1322,22.3,6.913000000000011,4,0,0.0,ECO CHIC Lightweight Foldable Reusable Shopping Bag Water Resistant Tote Bag,,4.5,0,No UK,0,1390,N/A,0.0
Home & Kitchen,20,2.96,B0DN6KL887,2025-03-22,,6.99,7.75,6.99,4.640718562874259,0,fba,1820,4,1322,22.3,6.913000000000011,4,0,0.0,ECO CHIC Lightweight Foldable Reusable Shopping Bag Water Resistant Tote Bag,,4.5,0,No UK,0,1390,N/A,0.0
Home & Kitchen,20,2.96,B0DN6KL887,2025-03-23,,6.99,7.75,6.99,4.640718562874259,0,fba,1803,4,1322,22.3,6.913000000000011,4,0,0.0,ECO CHIC Lightweight Foldable Reusable Shopping Bag Water Resistant Tote Bag,,4.5,0,No UK,0,1390,N/A,0.0
Home & Kitchen,20,2.96,B0DN6KL887,2025-03-24,,6.99,7.75,6.99,4.640718562874259,0,fba,1706,4,1350,22.3,6.913000000000011,4,0,0.0,ECO CHIC Lightweight Foldable Reusable Shopping Bag Water Resistant Tote Bag,,4.5,0,No UK,0,1390,N/A,0.0
Home & Kitchen,20,2.96,B0DN6KL887,2025-03-25,,6.99,7.75,6.99,4.640718562874259,0,fba,1706,4,1350,22.3,6.913000000000011,4,0,0.0,ECO CHIC Lightweight Foldable Reusable Shopping Bag Water Resistant Tote Bag,,4.5,0,No UK,0,1390,N/A,0.0
Home & Kitchen,20,2.96,B0DN6KL887,2025-03-27,,6.99,11.0,6.99,4.640718562874259,0,fba,1017,4,1352,22.3,6.913000000000011,4,0,0.0,ECO CHIC Lightweight Foldable Reusable Shopping Bag Water Resistant Tote Bag,,4.5,0,No UK,0,1390,N/A,0.0
Home & Kitchen,20,2.96,B0DN6KL887,2025-03-28,,6.99,11.0,6.99,4.640718562874259,0,fba,1017,4,1352,22.3,6.913000000000011,4,0,0.0,ECO CHIC Lightweight Foldable Reusable Shopping Bag Water Resistant Tote Bag,,4.5,0,No UK,0,1390,N/A,0.0
Home & Kitchen,20,2.96,B0DN6KL887,2025-03-29,,6.99,9.14,6.99,4.640718562874259,0,fba,1286,4,1361,22.3,6.913000000000011,4,0,0.0,ECO CHIC Lightweight Foldable Reusable Shopping Bag Water Resistant Tote Bag,,4.5,0,No UK,0,1390,N/A,0.0
Home & Kitchen,20,2.96,B0DN6KL887,2025-03-31,,6.99,9.14,6.99,4.640718562874259,0,fba,1286,4,1361,22.3,6.913000000000011,4,0,0.0,ECO CHIC Lightweight Foldable Reusable Shopping Bag Water Resistant Tote Bag,,4.5,0,No UK,0,1390,N/A,0.0
Home & Kitchen,20,2.96,B0DN6KL887,2025-04-02,,6.99,6.99,6.99,4.640718562874259,0,fba,1456,4,1361,22.3,6.913000000000011,4,0,0.0,ECO CHIC Lightweight Foldable Reusable Shopping Bag Water Resistant Tote Bag,,4.5,0,No UK,0,1390,N/A,0.0
Home & Kitchen,20,2.96,B0DN6KL887,2025-04-03,,6.99,6.99,6.99,4.640718562874259,0,fba,1986,4,1361,22.3,6.913000000000011,4,0,0.0,ECO CHIC Lightweight Foldable Reusable Shopping Bag Water Resistant Tote Bag,,4.5,0,No UK,0,1390,N/A,0.0
Home & Kitchen,20,2.96,B0DN6KL887,2025-04-04,,6.99,6.99,6.99,4.640718562874259,0,fba,2223,4,1361,22.3,6.913000000000011,4,0,0.0,ECO CHIC Lightweight Foldable Reusable Shopping Bag Water Resistant Tote Bag,,4.5,0,No UK,0,1390,N/A,0.0
Home & Kitchen,20,2.96,B0DN6KL887,2025-04-05,,6.99,6.99,6.99,4.640718562874259,0,fba,2309,4,1361,22.3,6.913000000000011,4,0,0.0,ECO CHIC Lightweight Foldable Reusable Shopping Bag Water Resistant Tote Bag,,4.5,0,No UK,0,1390,N/A,0.0
Home & Kitchen,20,2.96,B0DN6KL887,2025-04-06,,6.99,6.99,6.99,4.640718562874259,0,fba,2309,4,1361,22.3,6.913000000000011,4,0,0.0,ECO CHIC Lightweight Foldable Reusable Shopping Bag Water Resistant Tote Bag,,4.5,0,No UK,0,1390,N/A,0.0
Home & Kitchen,20,2.96,B0DN6KL887,2025-04-07,,6.99,6.99,6.99,4.640718562874259,0,fba,2309,4,1361,22.3,6.913000000000011,4,0,0.0,ECO CHIC Lightweight Foldable Reusable Shopping Bag Water Resistant Tote Bag,,4.5,0,No UK,0,1390,N/A,0.0
Home & Kitchen,20,2.96,B0DN6KL887,2025-04-08,,6.99,6.99,6.99,4.640718562874259,0,fba,1802,4,1389,22.3,6.913000000000011,4,0,0.0,ECO CHIC Lightweight Foldable Reusable Shopping Bag Water Resistant Tote Bag,,4.5,0,No UK,0,1390,N/A,0.0
